,Country,Indicator,Inequality,Unit,Value
481,Czech Republic,Long-term unemployment rate,Total,Percentage,0.6
482,Denmark,Long-term unemployment rate,Total,Percentage,0.9
483,Finland,Long-term unemployment rate,Total,Percentage,1.2
484,France,Long-term unemployment rate,Total,Percentage,2.9
485,Germany,Long-term unemployment rate,Total,Percentage,1.2
486,Greece,Long-term unemployment rate,Total,Percentage,10.8
487,Hungary,Long-term unemployment rate,Total,Percentage,1.2
488,Iceland,Long-term unemployment rate,Total,Percentage,0.7
489,Ireland,Long-term unemployment rate,Total,Percentage,1.2
490,Italy,Long-term unemployment rate,Total,Percentage,4.8
491,Japan,Long-term unemployment rate,Total,Percentage,0.8
492,Korea,Long-term unemployment rate,Total,Percentage,0.0
493,Luxembourg,Long-term unemployment rate,Total,Percentage,1.7
494,Mexico,Long-term unemployment rate,Total,Percentage,0.1
495,Netherlands,Long-term unemployment rate,Total,Percentage,0.9
496,New Zealand,Long-term unemployment rate,Total,Percentage,0.4
497,Norway,Long-term unemployment rate,Total,Percentage,0.9
498,Poland,Long-term unemployment rate,Total,Percentage,0.6
499,Portugal,Long-term unemployment rate,Total,Percentage,2.3
500,Slovak Republic,Long-term unemployment rate,Total,Percentage,3.0
501,Spain,Long-term unemployment rate,Total,Percentage,5.0
502,Sweden,Long-term unemployment rate,Total,Percentage,1.0
503,Switzerland,Long-term unemployment rate,Total,Percentage,1.7
504,Türkiye,Long-term unemployment rate,Total,Percentage,3.3
505,United Kingdom,Long-term unemployment rate,Total,Percentage,0.9
506,United States,Long-term unemployment rate,Total,Percentage,0.5
507,Estonia,Long-term unemployment rate,Total,Percentage,1.2
508,Israel,Long-term unemployment rate,Total,Percentage,0.2
509,Latvia,Long-term unemployment rate,Total,Percentage,2.2
510,Russia,Long-term unemployment rate,Total,Percentage,1.1
511,Slovenia,Long-term unemployment rate,Total,Percentage,1.9
512,South Africa,Long-term unemployment rate,Total,Percentage,17.9
513,OECD - Total,Long-term unemployment rate,Total,Percentage,1.3
514,Australia,Long-term unemployment rate,Men,Percentage,1.0
515,Austria,Long-term unemployment rate,Men,Percentage,1.5
516,Belgium,Long-term unemployment rate,Men,Percentage,2.5
517,Canada,Long-term unemployment rate,Men,Percentage,0.6
518,Czech Republic,Long-term unemployment rate,Men,Percentage,0.5
519,Denmark,Long-term unemployment rate,Men,Percentage,0.7
520,Finland,Long-term unemployment rate,Men,Percentage,1.3
521,France,Long-term unemployment rate,Men,Percentage,3.0
522,Germany,Long-term unemployment rate,Men,Percentage,1.4
523,Greece,Long-term unemployment rate,Men,Percentage,8.8
524,Hungary,Long-term unemployment rate,Men,Percentage,1.2
525,Iceland,Long-term unemployment rate,Men,Percentage,0.8
526,Ireland,Long-term unemployment rate,Men,Percentage,1.3
527,Italy,Long-term unemployment rate,Men,Percentage,4.4
528,Japan,Long-term unemployment rate,Men,Percentage,1.0
529,Korea,Long-term unemployment rate,Men,Percentage,0.0
530,Luxembourg,Long-term unemployment rate,Men,Percentage,1.6
531,Mexico,Long-term unemployment rate,Men,Percentage,0.1
532,Netherlands,Long-term unemployment rate,Men,Percentage,0.9
533,New Zealand,Long-term unemployment rate,Men,Percentage,0.4
534,Norway,Long-term unemployment rate,Men,Percentage,1.0
535,Poland,Long-term unemployment rate,Men,Percentage,0.6
536,Portugal,Long-term unemployment rate,Men,Percentage,2.2
537,Slovak Republic,Long-term unemployment rate,Men,Percentage,3.0
538,Spain,Long-term unemployment rate,Men,Percentage,4.1
539,Sweden,Long-term unemployment rate,Men,Percentage,1.0
540,Switzerland,Long-term unemployment rate,Men,Percentage,1.6
541,Türkiye,Long-term unemployment rate,Men,Percentage,2.5
542,United Kingdom,Long-term unemployment rate,Men,Percentage,1.1
543,United States,Long-term unemployment rate,Men,Percentage,0.5
544,Estonia,Long-term unemployment rate,Men,Percentage,1.3
545,Israel,Long-term unemployment rate,Men,Percentage,0.2
546,Latvia,Long-term unemployment rate,Men,Percentage,2.7
547,Russia,Long-term unemployment rate,Men,Percentage,1.1
548,Slovenia,Long-term unemployment rate,Men,Percentage,1.5
549,South Africa,Long-term unemployment rate,Men,Percentage,15.7
550,OECD - Total,Long-term unemployment rate,Men,Percentage,1.3
551,Australia,Long-term unemployment rate,Women,Percentage,1.1
552,Austria,Long-term unemployment rate,Women,Percentage,1.2
553,Belgium,Long-term unemployment rate,Women,Percentage,2.1
554,Canada,Long-term unemployment rate,Women,Percentage,0.4
555,Czech Republic,Long-term unemployment rate,Women,Percentage,0.6
556,Denmark,Long-term unemployment rate,Women,Percentage,1.2
557,Finland,Long-term unemployment rate,Women,Percentage,1.1
558,France,Long-term unemployment rate,Women,Percentage,2.9
559,Germany,Long-term unemployment rate,Women,Percentage,1.0
560,Greece,Long-term unemployment rate,Women,Percentage,13.4
561,Hungary,Long-term unemployment rate,Women,Percentage,1.1
562,Iceland,Long-term unemployment rate,Women,Percentage,0.5
563,Ireland,Long-term unemployment rate,Women,Percentage,1.0
564,Italy,Long-term unemployment rate,Women,Percentage,5.3
565,Japan,Long-term unemployment rate,Women,Percentage,0.5
566,Korea,Long-term unemployment rate,Women,Percentage,0.0
567,Luxembourg,Long-term unemployment rate,Women,Percentage,1.9
568,Mexico,Long-term unemployment rate,Women,Percentage,0.1
569,Netherlands,Long-term unemployment rate,Women,Percentage,1.0
570,New Zealand,Long-term unemployment rate,Women,Percentage,0.4
571,Norway,Long-term unemployment rate,Women,Percentage,0.8
572,Poland,Long-term unemployment rate,Women,Percentage,0.7
573,Portugal,Long-term unemployment rate,Women,Percentage,2.4
574,Slovak Republic,Long-term unemployment rate,Women,Percentage,3.0
575,Spain,Long-term unemployment rate,Women,Percentage,6.1
576,Sweden,Long-term unemployment rate,Women,Percentage,1.0
577,Switzerland,Long-term unemployment rate,Women,Percentage,1.8
578,Türkiye,Long-term unemployment rate,Women,Percentage,4.9
579,United Kingdom,Long-term unemployment rate,Women,Percentage,0.7
580,United States,Long-term unemployment rate,Women,Percentage,0.4
581,Estonia,Long-term unemployment rate,Women,Percentage,1.0
582,Israel,Long-term unemployment rate,Women,Percentage,0.2
583,Latvia,Long-term unemployment rate,Women,Percentage,1.7
584,Russia,Long-term unemployment rate,Women,Percentage,1.1
585,Slovenia,Long-term unemployment rate,Women,Percentage,2.4
586,South Africa,Long-term unemployment rate,Women,Percentage,20.8
587,OECD - Total,Long-term unemployment rate,Women,Percentage,1.4
588,Australia,Personal earnings,Total,US Dollar,55206.0
589,Austria,Personal earnings,Total,US Dollar,53132.0
590,Belgium,Personal earnings,Total,US Dollar,54327.0
591,Canada,Personal earnings,Total,US Dollar,55342.0
592,Czech Republic,Personal earnings,Total,US Dollar,29885.0
593,Denmark,Personal earnings,Total,US Dollar,58430.0
594,Finland,Personal earnings,Total,US Dollar,46230.0
595,France,Personal earnings,Total,US Dollar,45581.0
596,Germany,Personal earnings,Total,US Dollar,53745.0
597,Greece,Personal earnings,Total,US Dollar,27207.0
598,Hungary,Personal earnings,Total,US Dollar,25409.0
599,Iceland,Personal earnings,Total,US Dollar,67488.0
600,Ireland,Personal earnings,Total,US Dollar,49474.0
601,Italy,Personal earnings,Total,US Dollar,37769.0
602,Japan,Personal earnings,Total,US Dollar,38515.0
603,Korea,Personal earnings,Total,US Dollar,41960.0
604,Luxembourg,Personal earnings,Total,US Dollar,65854.0
605,Mexico,Personal earnings,Total,US Dollar,16230.0
606,Netherlands,Personal earnings,Total,US Dollar,58828.0
607,New Zealand,Personal earnings,Total,US Dollar,45269.0
608,Norway,Personal earnings,Total,US Dollar,55780.0
609,Poland,Personal earnings,Total,US Dollar,32527.0
610,Portugal,Personal earnings,Total,US Dollar,28410.0
611,Slovak Republic,Personal earnings,Total,US Dollar,23619.0
612,Spain,Personal earnings,Total,US Dollar,37922.0
613,Sweden,Personal earnings,Total,US Dollar,47020.0
614,Switzerland,Personal earnings,Total,US Dollar,64824.0
615,United Kingdom,Personal earnings,Total,US Dollar,47147.0
616,United States,Personal earnings,Total,US Dollar,69392.0
617,Chile,Personal earnings,Total,US Dollar,26729.0
618,Estonia,Personal earnings,Total,US Dollar,30720.0
619,Israel,Personal earnings,Total,US Dollar,39322.0
620,Latvia,Personal earnings,Total,US Dollar,29876.0
621,Slovenia,Personal earnings,Total,US Dollar,41445.0
622,OECD - Total,Personal earnings,Total,US Dollar,49165.0
623,Australia,Quality of support network,Total,Percentage,93.0
624,Austria,Quality of support network,Total,Percentage,92.0
625,Belgium,Quality of support network,Total,Percentage,90.0
626,Canada,Quality of support network,Total,Percentage,93.0
627,Czech Republic,Quality of support network,Total,Percentage,96.0
628,Denmark,Quality of support network,Total,Percentage,95.0
629,Finland,Quality of support network,Total,Percentage,96.0
630,France,Quality of support network,Total,Percentage,94.0
631,Germany,Quality of support network,Total,Percentage,90.0
632,Greece,Quality of support network,Total,Percentage,78.0
633,Hungary,Quality of support network,Total,Percentage,94.0
634,Iceland,Quality of support network,Total,Percentage,98.0
635,Ireland,Quality of support network,Total,Percentage,96.0
636,Italy,Quality of support network,Total,Percentage,89.0
637,Japan,Quality of support network,Total,Percentage,89.0
638,Korea,Quality of support network,Total,Percentage,80.0
639,Luxembourg,Quality of support network,Total,Percentage,91.0
640,Mexico,Quality of support network,Total,Percentage,77.0
641,Netherlands,Quality of support network,Total,Percentage,94.0
642,New Zealand,Quality of support network,Total,Percentage,95.0
643,Norway,Quality of support network,Total,Percentage,96.0
644,Poland,Quality of support network,Total,Percentage,94.0
645,Portugal,Quality of support network,Total,Percentage,87.0
646,Slovak Republic,Quality of support network,Total,Percentage,95.0
647,Spain,Quality of support network,Total,Percentage,93.0
648,Sweden,Quality of support network,Total,Percentage,94.0
649,Switzerland,Quality of support network,Total,Percentage,94.0
650,Türkiye,Quality of support network,Total,Percentage,85.0
651,United Kingdom,Quality of support network,Total,Percentage,93.0
652,United States,Quality of support network,Total,Percentage,94.0
653,Brazil,Quality of support network,Total,Percentage,83.0
654,Chile,Quality of support network,Total,Percentage,88.0
655,Estonia,Quality of support network,Total,Percentage,95.0
656,Israel,Quality of support network,Total,Percentage,95.0
657,Latvia,Quality of support network,Total,Percentage,92.0
658,Russia,Quality of support network,Total,Percentage,89.0
659,Slovenia,Quality of support network,Total,Percentage,95.0
660,South Africa,Quality of support network,Total,Percentage,89.0
661,OECD - Total,Quality of support network,Total,Percentage,91.0
662,Australia,Quality of support network,Men,Percentage,93.0
663,Austria,Quality of support network,Men,Percentage,92.0
664,Belgium,Quality of support network,Men,Percentage,92.0
665,Canada,Quality of support network,Men,Percentage,93.0
666,Czech Republic,Quality of support network,Men,Percentage,95.0
667,Denmark,Quality of support network,Men,Percentage,93.0
668,Finland,Quality of support network,Men,Percentage,94.0
669,France,Quality of support network,Men,Percentage,92.0
670,Germany,Quality of support network,Men,Percentage,91.0
671,Greece,Quality of support network,Men,Percentage,77.0
672,Hungary,Quality of support network,Men,Percentage,92.0
673,Iceland,Quality of support network,Men,Percentage,99.0
674,Ireland,Quality of support network,Men,Percentage,96.0
675,Italy,Quality of support network,Men,Percentage,92.0
676,Japan,Quality of support network,Men,Percentage,84.0
677,Korea,Quality of support network,Men,Percentage,74.0
678,Luxembourg,Quality of support network,Men,Percentage,91.0
679,Mexico,Quality of support network,Men,Percentage,77.0
680,Netherlands,Quality of support network,Men,Percentage,96.0
681,New Zealand,Quality of support network,Men,Percentage,95.0
682,Norway,Quality of support network,Men,Percentage,96.0
683,Poland,Quality of support network,Men,Percentage,93.0
684,Portugal,Quality of support network,Men,Percentage,88.0
685,Slovak Republic,Quality of support network,Men,Percentage,94.0
686,Spain,Quality of support network,Men,Percentage,93.0
687,Sweden,Quality of support network,Men,Percentage,94.0
688,Switzerland,Quality of support network,Men,Percentage,93.0
689,Türkiye,Quality of support network,Men,Percentage,82.0
690,United Kingdom,Quality of support network,Men,Percentage,89.0
691,United States,Quality of support network,Men,Percentage,93.0
692,Brazil,Quality of support network,Men,Percentage,86.0
693,Chile,Quality of support network,Men,Percentage,88.0
694,Estonia,Quality of support network,Men,Percentage,93.0
695,Israel,Quality of support network,Men,Percentage,95.0
696,Latvia,Quality of support network,Men,Percentage,89.0
697,Russia,Quality of support network,Men,Percentage,88.0
698,Slovenia,Quality of support network,Men,Percentage,95.0
699,South Africa,Quality of support network,Men,Percentage,89.0
700,OECD - Total,Quality of support network,Men,Percentage,90.0
701,Australia,Quality of support network,Women,Percentage,94.0
702,Austria,Quality of support network,Women,Percentage,93.0
703,Belgium,Quality of support network,Women,Percentage,87.0
704,Canada,Quality of support network,Women,Percentage,93.0
705,Czech Republic,Quality of support network,Women,Percentage,97.0
706,Denmark,Quality of support network,Women,Percentage,97.0
707,Finland,Quality of support network,Women,Percentage,98.0
708,France,Quality of support network,Women,Percentage,96.0
709,Germany,Quality of support network,Women,Percentage,89.0
710,Greece,Quality of support network,Women,Percentage,79.0
711,Hungary,Quality of support network,Women,Percentage,96.0
712,Iceland,Quality of support network,Women,Percentage,98.0
713,Ireland,Quality of support network,Women,Percentage,96.0
714,Italy,Quality of support network,Women,Percentage,86.0
715,Japan,Quality of support network,Women,Percentage,93.0
716,Korea,Quality of support network,Women,Percentage,86.0
717,Luxembourg,Quality of support network,Women,Percentage,91.0
718,Mexico,Quality of support network,Women,Percentage,76.0
719,Netherlands,Quality of support network,Women,Percentage,92.0
720,New Zealand,Quality of support network,Women,Percentage,95.0
721,Norway,Quality of support network,Women,Percentage,96.0
722,Poland,Quality of support network,Women,Percentage,95.0
723,Portugal,Quality of support network,Women,Percentage,86.0
724,Slovak Republic,Quality of support network,Women,Percentage,95.0
725,Spain,Quality of support network,Women,Percentage,94.0
726,Sweden,Quality of support network,Women,Percentage,93.0
727,Switzerland,Quality of support network,Women,Percentage,95.0
728,Türkiye,Quality of support network,Women,Percentage,88.0
729,United Kingdom,Quality of support network,Women,Percentage,96.0
730,United States,Quality of support network,Women,Percentage,94.0
731,Brazil,Quality of support network,Women,Percentage,80.0
732,Chile,Quality of support network,Women,Percentage,88.0
733,Estonia,Quality of support network,Women,Percentage,97.0
734,Israel,Quality of support network,Women,Percentage,96.0
735,Latvia,Quality of support network,Women,Percentage,94.0
736,Russia,Quality of support network,Women,Percentage,89.0
737,Slovenia,Quality of support network,Women,Percentage,95.0
738,South Africa,Quality of support network,Women,Percentage,89.0
739,OECD - Total,Quality of support network,Women,Percentage,92.0
740,Australia,Educational attainment,Total,Percentage,84.0
741,Austria,Educational attainment,Total,Percentage,86.0
742,Belgium,Educational attainment,Total,Percentage,80.0
743,Canada,Educational attainment,Total,Percentage,92.0
744,Czech Republic,Educational attainment,Total,Percentage,94.0
745,Denmark,Educational attainment,Total,Percentage,82.0
746,Finland,Educational attainment,Total,Percentage,91.0
747,France,Educational attainment,Total,Percentage,81.0
748,Germany,Educational attainment,Total,Percentage,86.0
749,Greece,Educational attainment,Total,Percentage,76.0
750,Hungary,Educational attainment,Total,Percentage,86.0
751,Iceland,Educational attainment,Total,Percentage,76.0
752,Ireland,Educational attainment,Total,Percentage,85.0
753,Italy,Educational attainment,Total,Percentage,63.0
754,Korea,Educational attainment,Total,Percentage,89.0
755,Luxembourg,Educational attainment,Total,Percentage,74.0
756,Mexico,Educational attainment,Total,Percentage,42.0
757,Netherlands,Educational attainment,Total,Percentage,81.0
758,New Zealand,Educational attainment,Total,Percentage,81.0
759,Norway,Educational attainment,Total,Percentage,82.0
760,Poland,Educational attainment,Total,Percentage,93.0
761,Portugal,Educational attainment,Total,Percentage,55.0
762,Slovak Republic,Educational attainment,Total,Percentage,92.0
763,Spain,Educational attainment,Total,Percentage,63.0
764,Sweden,Educational attainment,Total,Percentage,84.0
765,Switzerland,Educational attainment,Total,Percentage,89.0
766,Türkiye,Educational attainment,Total,Percentage,42.0
767,United Kingdom,Educational attainment,Total,Percentage,82.0
768,United States,Educational attainment,Total,Percentage,92.0
769,Brazil,Educational attainment,Total,Percentage,57.0
770,Chile,Educational attainment,Total,Percentage,67.0
771,Estonia,Educational attainment,Total,Percentage,91.0
772,Israel,Educational attainment,Total,Percentage,88.0
773,Latvia,Educational attainment,Total,Percentage,89.0
774,Russia,Educational attainment,Total,Percentage,95.0
775,Slovenia,Educational attainment,Total,Percentage,90.0
776,South Africa,Educational attainment,Total,Percentage,48.0
777,OECD - Total,Educational attainment,Total,Percentage,79.0
778,Australia,Educational attainment,Men,Percentage,84.0
779,Austria,Educational attainment,Men,Percentage,88.0
780,Belgium,Educational attainment,Men,Percentage,78.0
781,Canada,Educational attainment,Men,Percentage,91.0
782,Czech Republic,Educational attainment,Men,Percentage,95.0
783,Denmark,Educational attainment,Men,Percentage,80.0
784,Finland,Educational attainment,Men,Percentage,89.0
785,France,Educational attainment,Men,Percentage,81.0
786,Germany,Educational attainment,Men,Percentage,87.0
787,Greece,Educational attainment,Men,Percentage,75.0
788,Hungary,Educational attainment,Men,Percentage,87.0
789,Iceland,Educational attainment,Men,Percentage,74.0
790,Ireland,Educational attainment,Men,Percentage,83.0
791,Italy,Educational attainment,Men,Percentage,61.0
792,Korea,Educational attainment,Men,Percentage,92.0
793,Luxembourg,Educational attainment,Men,Percentage,74.0
794,Mexico,Educational attainment,Men,Percentage,42.0
795,Netherlands,Educational attainment,Men,Percentage,81.0
796,New Zealand,Educational attainment,Men,Percentage,80.0
797,Norway,Educational attainment,Men,Percentage,82.0
798,Poland,Educational attainment,Men,Percentage,93.0
799,Portugal,Educational attainment,Men,Percentage,52.0
800,Slovak Republic,Educational attainment,Men,Percentage,93.0
801,Spain,Educational attainment,Men,Percentage,60.0
802,Sweden,Educational attainment,Men,Percentage,83.0
803,Switzerland,Educational attainment,Men,Percentage,90.0
804,Türkiye,Educational attainment,Men,Percentage,45.0
805,United Kingdom,Educational attainment,Men,Percentage,81.0
806,United States,Educational attainment,Men,Percentage,91.0
807,Brazil,Educational attainment,Men,Percentage,53.0
808,Chile,Educational attainment,Men,Percentage,67.0
809,Estonia,Educational attainment,Men,Percentage,87.0
810,Israel,Educational attainment,Men,Percentage,87.0
811,Latvia,Educational attainment,Men,Percentage,86.0
812,Russia,Educational attainment,Men,Percentage,94.0
813,Slovenia,Educational attainment,Men,Percentage,91.0
814,South Africa,Educational attainment,Men,Percentage,48.0
815,OECD - Total,Educational attainment,Men,Percentage,78.0
816,Australia,Educational attainment,Women,Percentage,84.0
817,Austria,Educational attainment,Women,Percentage,83.0
818,Belgium,Educational attainment,Women,Percentage,81.0
819,Canada,Educational attainment,Women,Percentage,94.0
820,Czech Republic,Educational attainment,Women,Percentage,93.0
821,Denmark,Educational attainment,Women,Percentage,83.0
822,Finland,Educational attainment,Women,Percentage,94.0
823,France,Educational attainment,Women,Percentage,82.0
824,Germany,Educational attainment,Women,Percentage,86.0
825,Greece,Educational attainment,Women,Percentage,78.0
826,Hungary,Educational attainment,Women,Percentage,84.0
827,Iceland,Educational attainment,Women,Percentage,78.0
828,Ireland,Educational attainment,Women,Percentage,88.0
829,Italy,Educational attainment,Women,Percentage,65.0
830,Korea,Educational attainment,Women,Percentage,87.0
831,Luxembourg,Educational attainment,Women,Percentage,74.0
832,Mexico,Educational attainment,Women,Percentage,41.0
833,Netherlands,Educational attainment,Women,Percentage,81.0
834,New Zealand,Educational attainment,Women,Percentage,82.0
835,Norway,Educational attainment,Women,Percentage,83.0
836,Poland,Educational attainment,Women,Percentage,94.0
837,Portugal,Educational attainment,Women,Percentage,59.0
838,Slovak Republic,Educational attainment,Women,Percentage,92.0
839,Spain,Educational attainment,Women,Percentage,66.0
840,Sweden,Educational attainment,Women,Percentage,85.0
841,Switzerland,Educational attainment,Women,Percentage,88.0
842,Türkiye,Educational attainment,Women,Percentage,38.0
843,United Kingdom,Educational attainment,Women,Percentage,83.0
844,United States,Educational attainment,Women,Percentage,92.0
845,Brazil,Educational attainment,Women,Percentage,60.0
846,Chile,Educational attainment,Women,Percentage,68.0
847,Estonia,Educational attainment,Women,Percentage,94.0
848,Israel,Educational attainment,Women,Percentage,89.0
849,Latvia,Educational attainment,Women,Percentage,93.0
850,Russia,Educational attainment,Women,Percentage,96.0
851,Slovenia,Educational attainment,Women,Percentage,89.0
852,South Africa,Educational attainment,Women,Percentage,48.0
853,OECD - Total,Educational attainment,Women,Percentage,80.0
854,Australia,Student skills,Total,Average score,499.0
855,Austria,Student skills,Total,Average score,491.0
856,Belgium,Student skills,Total,Average score,500.0
857,Canada,Student skills,Total,Average score,517.0
858,Czech Republic,Student skills,Total,Average score,495.0
859,Denmark,Student skills,Total,Average score,501.0
860,Finland,Student skills,Total,Average score,516.0
861,France,Student skills,Total,Average score,494.0
862,Germany,Student skills,Total,Average score,500.0
863,Greece,Student skills,Total,Average score,453.0
864,Hungary,Student skills,Total,Average score,479.0
865,Iceland,Student skills,Total,Average score,481.0
866,Ireland,Student skills,Total,Average score,505.0
867,Italy,Student skills,Total,Average score,477.0
868,Japan,Student skills,Total,Average score,520.0
869,Korea,Student skills,Total,Average score,520.0
870,Luxembourg,Student skills,Total,Average score,477.0
871,Mexico,Student skills,Total,Average score,416.0
872,Netherlands,Student skills,Total,Average score,502.0
873,New Zealand,Student skills,Total,Average score,503.0
874,Norway,Student skills,Total,Average score,497.0
875,Poland,Student skills,Total,Average score,513.0
876,Portugal,Student skills,Total,Average score,492.0
877,Slovak Republic,Student skills,Total,Average score,469.0
878,Sweden,Student skills,Total,Average score,503.0
879,Switzerland,Student skills,Total,Average score,498.0
880,Türkiye,Student skills,Total,Average score,462.0
881,United Kingdom,Student skills,Total,Average score,503.0
882,United States,Student skills,Total,Average score,495.0
883,Brazil,Student skills,Total,Average score,400.0
884,Chile,Student skills,Total,Average score,438.0
885,Estonia,Student skills,Total,Average score,526.0
886,Israel,Student skills,Total,Average score,465.0
887,Latvia,Student skills,Total,Average score,487.0
888,Russia,Student skills,Total,Average score,481.0
889,Slovenia,Student skills,Total,Average score,504.0
890,OECD - Total,Student skills,Total,Average score,488.0
891,Australia,Student skills,Men,Average score,495.0
892,Austria,Student skills,Men,Average score,489.0
893,Belgium,Student skills,Men,Average score,499.0
894,Canada,Student skills,Men,Average score,512.0
895,Czech Republic,Student skills,Men,Average score,490.0
896,Denmark,Student skills,Men,Average score,496.0
897,Finland,Student skills,Men,Average score,503.0
898,France,Student skills,Men,Average score,490.0
899,Germany,Student skills,Men,Average score,497.0
900,Greece,Student skills,Men,Average score,445.0
901,Hungary,Student skills,Men,Average score,477.0
902,Iceland,Student skills,Men,Average score,472.0
903,Ireland,Student skills,Men,Average score,501.0
904,Italy,Student skills,Men,Average score,476.0
905,Japan,Student skills,Men,Average score,519.0
906,Korea,Student skills,Men,Average score,517.0
907,Luxembourg,Student skills,Men,Average score,472.0
908,Mexico,Student skills,Men,Average score,418.0
909,Netherlands,Student skills,Men,Average score,497.0
910,New Zealand,Student skills,Men,Average score,500.0
911,Norway,Student skills,Men,Average score,486.0
912,Poland,Student skills,Men,Average score,508.0
913,Portugal,Student skills,Men,Average score,490.0
914,Slovak Republic,Student skills,Men,Average score,463.0
915,Sweden,Student skills,Men,Average score,495.0
916,Switzerland,Student skills,Men,Average score,494.0
917,Türkiye,Student skills,Men,Average score,458.0
918,United Kingdom,Student skills,Men,Average score,503.0
919,United States,Student skills,Men,Average score,493.0
920,Brazil,Student skills,Men,Average score,397.0
921,Chile,Student skills,Men,Average score,436.0
922,Estonia,Student skills,Men,Average score,521.0
923,Israel,Student skills,Men,Average score,452.0
924,Latvia,Student skills,Men,Average score,482.0
925,Russia,Student skills,Men,Average score,478.0
926,Slovenia,Student skills,Men,Average score,495.0
927,OECD - Total,Student skills,Men,Average score,485.0
928,Australia,Student skills,Women,Average score,503.0
929,Austria,Student skills,Women,Average score,493.0
930,Belgium,Student skills,Women,Average score,501.0
931,Canada,Student skills,Women,Average score,521.0
932,Czech Republic,Student skills,Women,Average score,501.0
933,Denmark,Student skills,Women,Average score,506.0
934,Finland,Student skills,Women,Average score,530.0
935,France,Student skills,Women,Average score,497.0
936,Germany,Student skills,Women,Average score,504.0
937,Greece,Student skills,Women,Average score,462.0
938,Hungary,Student skills,Women,Average score,481.0
939,Iceland,Student skills,Women,Average score,491.0
940,Ireland,Student skills,Women,Average score,508.0
941,Italy,Student skills,Women,Average score,478.0
942,Japan,Student skills,Women,Average score,521.0
943,Korea,Student skills,Women,Average score,522.0
944,Luxembourg,Student skills,Women,Average score,481.0
945,Mexico,Student skills,Women,Average score,415.0
946,Netherlands,Student skills,Women,Average score,508.0
947,New Zealand,Student skills,Women,Average score,506.0
948,Norway,Student skills,Women,Average score,508.0
949,Poland,Student skills,Women,Average score,518.0
950,Portugal,Student skills,Women,Average score,494.0
951,Slovak Republic,Student skills,Women,Average score,475.0
952,Sweden,Student skills,Women,Average score,510.0
953,Switzerland,Student skills,Women,Average score,502.0
954,Türkiye,Student skills,Women,Average score,467.0
955,United Kingdom,Student skills,Women,Average score,504.0
956,United States,Student skills,Women,Average score,498.0
957,Brazil,Student skills,Women,Average score,403.0
958,Chile,Student skills,Women,Average score,439.0
959,Estonia,Student skills,Women,Average score,530.0
960,Israel,Student skills,Women,Average score,477.0
961,Latvia,Student skills,Women,Average score,493.0
962,Russia,Student skills,Women,Average score,485.0
963,Slovenia,Student skills,Women,Average score,512.0
964,OECD - Total,Student skills,Women,Average score,491.0
965,Australia,Years in education,Total,Years,20.0
966,Austria,Years in education,Total,Years,17.0
967,Belgium,Years in education,Total,Years,19.0
968,Canada,Years in education,Total,Years,17.0
969,Czech Republic,Years in education,Total,Years,18.0
970,Denmark,Years in education,Total,Years,19.0
971,Finland,Years in education,Total,Years,20.0
972,France,Years in education,Total,Years,17.0
973,Germany,Years in education,Total,Years,18.0
974,Greece,Years in education,Total,Years,19.0
975,Hungary,Years in education,Total,Years,16.0
976,Iceland,Years in education,Total,Years,19.0
977,Ireland,Years in education,Total,Years,18.0
978,Italy,Years in education,Total,Years,17.0
979,Japan,Years in education,Total,Years,16.0
980,Korea,Years in education,Total,Years,17.0
981,Luxembourg,Years in education,Total,Years,15.0
982,Mexico,Years in education,Total,Years,15.0
983,Netherlands,Years in education,Total,Years,19.0
984,New Zealand,Years in education,Total,Years,18.0
985,Norway,Years in education,Total,Years,18.0
986,Poland,Years in education,Total,Years,18.0
987,Portugal,Years in education,Total,Years,17.0
988,Slovak Republic,Years in education,Total,Years,16.0
989,Spain,Years in education,Total,Years,18.0
990,Sweden,Years in education,Total,Years,20.0
991,Switzerland,Years in education,Total,Years,17.0
992,Türkiye,Years in education,Total,Years,19.0
993,United Kingdom,Years in education,Total,Years,17.0
994,United States,Years in education,Total,Years,17.0
995,Brazil,Years in education,Total,Years,16.0
996,Chile,Years in education,Total,Years,17.0
997,Estonia,Years in education,Total,Years,18.0
998,Israel,Years in education,Total,Years,16.0
999,Latvia,Years in education,Total,Years,18.0
1000,Russia,Years in education,Total,Years,16.0
1001,Slovenia,Years in education,Total,Years,18.0
1002,OECD - Total,Years in education,Total,Years,18.0
1003,Australia,Years in education,Men,Years,20.0
1004,Austria,Years in education,Men,Years,17.0
1005,Belgium,Years in education,Men,Years,19.0
1006,Canada,Years in education,Men,Years,17.0
1007,Czech Republic,Years in education,Men,Years,17.0
1008,Denmark,Years in education,Men,Years,19.0
1009,Finland,Years in education,Men,Years,19.0
1010,France,Years in education,Men,Years,16.0
1011,Germany,Years in education,Men,Years,18.0
1012,Greece,Years in education,Men,Years,19.0
1013,Hungary,Years in education,Men,Years,16.0
1014,Iceland,Years in education,Men,Years,18.0
1015,Ireland,Years in education,Men,Years,18.0
1016,Italy,Years in education,Men,Years,16.0
1017,Japan,Years in education,Men,Years,16.0
1018,Korea,Years in education,Men,Years,18.0
1019,Luxembourg,Years in education,Men,Years,15.0
1020,Mexico,Years in education,Men,Years,15.0
1021,Netherlands,Years in education,Men,Years,19.0
